Column       MSE            MAE            RMSE           RSE            PC             R^2            
col_78       5.55350e+01    7.44669e+00    7.45218e+00    Infinity       4.43764e-01    -1.53226e+08   
col_79       5.26636e+01    7.25394e+00    7.25697e+00    2.27852e+03    3.30317e-01    -2.27752e+03   
col_80       7.96151e+00    2.80942e+00    2.82161e+00    Infinity       -8.05228e-01   -1.23340e+07   
col_81       5.44886e+00    2.32662e+00    2.33428e+00    Infinity       NaN            6.08207e+07    
col_82       1.25868e+01    3.52127e+00    3.54779e+00    Infinity       -3.60444e-01   -2.65758e+08   
col_83       1.20594e+00    1.08700e+00    1.09815e+00    Infinity       9.01077e-02    -6.53585e+06   
col_84       1.25945e-01    3.17448e-01    3.54888e-01    Infinity       -4.04041e-01   -1.46604e+05   
col_85       6.60149e-02    2.31993e-01    2.56934e-01    1.22241e+02    -6.26815e-01   -1.21241e+02   
col_86       3.90463e-01    6.24144e-01    6.24871e-01    Infinity       3.72266e-01    -2.86290e+05   
col_87       1.42398e-01    2.70114e-01    3.77357e-01    1.79209e+03    8.15691e-01    -1.79109e+03   
col_88       6.05837e+00    2.45918e+00    2.46138e+00    2.91089e+02    6.96569e-01    -2.90089e+02   
col_89       2.95540e+01    5.43478e+00    5.43636e+00    9.05934e+03    8.82607e-02    -9.05834e+03   
col_90       3.97464e-01    6.29072e-01    6.30447e-01    2.19980e+04    3.24373e-01    -2.19970e+04   
col_91       4.47029e-01    6.65902e-01    6.68602e-01    7.80300e+02    -4.63587e-02   -7.79300e+02   
col_92       5.99587e+00    2.42625e+00    2.44865e+00    2.31548e+02    5.44778e-01    -2.30548e+02   
col_93       2.53726e-02    1.50752e-01    1.59288e-01    2.55250e+01    -1.22532e-01   -2.45250e+01   
col_94       8.23382e-01    8.88634e-01    9.07404e-01    3.95927e+05    -1.80884e-01   -3.95926e+05   
col_95       5.48598e+00    2.32005e+00    2.34222e+00    6.67238e+01    -7.32453e-01   -6.57238e+01   
col_96       1.27522e+00    1.11592e+00    1.12926e+00    6.74552e+03    3.72416e-01    -6.74452e+03   
col_97       1.07484e+00    1.02759e+00    1.03674e+00    5.08218e+02    2.18743e-01    -5.07218e+02   
col_98       5.92424e+00    2.42972e+00    2.43398e+00    6.99502e+04    5.44522e-01    -6.99492e+04   
col_99       1.07715e+00    1.02019e+00    1.03786e+00    9.85394e+01    -5.73392e-01   -9.75394e+01   
col_100      4.79605e-02    1.90091e-01    2.18999e-01    5.71254e+01    2.28791e-01    -5.61254e+01   
col_101      1.37154e-01    3.64990e-01    3.70343e-01    4.58556e+03    -9.42698e-01   -4.58456e+03   
col_102      5.02603e-04    1.27958e-02    2.24188e-02    9.19327e-01    5.37436e-01    8.06068e-02    
col_103      1.22736e-02    1.09676e-01    1.10786e-01    1.86427e+02    -3.96830e-01   -1.85427e+02   
col_104      4.62417e-02    2.14366e-01    2.15039e-01    4.36597e+02    -3.18184e-01   -4.35597e+02   
col_105      7.43679e-01    8.50362e-01    8.62368e-01    5.37349e+04    5.98388e-01    -5.37339e+04   
col_106      8.54756e-01    9.23611e-01    9.24530e-01    6.71432e+03    -5.81483e-02   -6.71332e+03   
col_107      3.28274e-02    1.60837e-01    1.81183e-01    1.68851e+01    -8.49042e-01   -1.58851e+01   
col_108      1.33620e-01    3.63210e-01    3.65541e-01    4.83379e+03    4.49851e-01    -4.83280e+03   
col_109      2.68051e-03    4.86707e-02    5.17737e-02    8.60038e+00    NaN            -7.60038e+00   
col_110      1.50287e-01    3.87250e-01    3.87669e-01    4.63719e+02    NaN            -4.62719e+02   
col_111      1.64130e-01    3.85620e-01    4.05129e-01    5.17877e+01    -5.78848e-01   -5.07877e+01   
col_112      4.38149e-02    2.04459e-01    2.09320e-01    2.17814e+01    NaN            -2.07814e+01   
col_113      5.30816e-02    2.05286e-01    2.30394e-01    1.03539e+01    -6.91211e-01   -9.35388e+00   
col_114      9.20400e-02    2.57021e-01    3.03381e-01    1.41925e+01    -7.12708e-01   -1.31925e+01   
col_115      3.71319e-02    1.63499e-01    1.92696e-01    1.08141e+01    -7.42637e-01   -9.81408e+00   
col_116      4.94547e-02    1.73362e-01    2.22384e-01    4.23415e+01    -5.56299e-01   -4.13415e+01   
col_117      9.18641e-01    9.42058e-01    9.58457e-01    2.20204e+02    -7.75197e-01   -2.19204e+02   
col_118      5.24855e-03    5.53495e-02    7.24469e-02    3.78460e+02    -3.94443e-01   -3.77460e+02   
col_119      9.15118e-03    7.08163e-02    9.56618e-02    2.16004e+01    -6.15569e-01   -2.06004e+01   
col_120      1.29805e-01    3.53283e-01    3.60285e-01    5.54004e+03    -3.26777e-01   -5.53904e+03   
col_121      2.08105e-03    4.16466e-02    4.56185e-02    6.00396e+00    NaN            -5.00396e+00   
col_122      2.40282e-02    1.54873e-01    1.55010e-01    5.64101e+02    NaN            -5.63101e+02   
col_123      4.05136e-02    2.00587e-01    2.01280e-01    1.45507e+02    NaN            -1.44507e+02   
col_124      3.35473e-02    1.80671e-01    1.83159e-01    3.70528e+01    NaN            -3.60528e+01   
col_125      7.29996e-02    2.68909e-01    2.70184e-01    1.06153e+02    NaN            -1.05153e+02   
col_126      8.01512e-02    2.82608e-01    2.83110e-01    2.82174e+02    NaN            -2.81174e+02   
col_127      1.38340e+00    1.17341e+00    1.17618e+00    1.86054e+03    -4.47330e-01   -1.85954e+03   
col_128      9.00981e-02    2.96297e-01    3.00163e-01    3.90672e+01    NaN            -3.80672e+01   
col_129      1.27488e-02    1.09371e-01    1.12911e-01    1.62053e+01    NaN            -1.52053e+01   
col_130      1.08955e-01    3.09905e-01    3.30083e-01    4.37147e+01    -4.00285e-01   -4.27147e+01   
