X|Y|Origin|Predict
924242.8125|1932826|29.65|23.27
922955.5|1931913|26.26|16.53
922559.6875|1931660|18.4|12.77
922513.8125|1932020|19.3|13.67
922510.875|1931711|18.67|13.06
923002.875|1931707|15.08|9.54
923595.8125|1932010|23.04|17.33
923898.875|1932880|45.05|34.55
923898.5|1932829|42.93|32.63
922870|1933301|65.09|63.61
923800.625|1932881|45.22|34.69
923004.3125|1931861|53.33|42.01
923509.3125|1933295|59.45|44.83
923359.375|1933039|331.49|349.74
924241.8125|1932723|22.03|14.04
923408.125|1932987|227.41|220.11
923407.125|1932885|135.81|120.30
922465.1875|1932071|36.02|26.44
923171.625|1934017|8.6|2.27
923706|1933293|41.22|31.10
923698.5|1932471|6.41|0.36
922553.125|1930941|10.75|8.64
922930.625|1934533|22.79|12.67
923025.125|1934121|11.63|3.88
923214.1875|1933297|67.5|62.00
923513|1933706|27.97|16.77
923015.1875|1933042|43.24|39.44
924045.5|1932776|36.67|26.91
923163.125|1933092|54.45|42.96
923896.625|1932623|28.89|20.00
923546.6875|1932010|34.09|24.59
923160.8125|1932835|54.52|43.02
923307.8125|1932783|56.61|44.93
923802.375|1933086|47.56|36.71
922573.125|1933098|0|-5.16
923275.6875|1934632|15.1|8.54
924009.875|1934266|8.1|2.13
923621.1875|1934783|9.14|3.08
923271.875|1934221|15.86|9.22
923652.625|1932831|44.24|35.60
923900.3125|1933034|43.61|34.99
922818.875|1933096|29.05|30.91
922821.8125|1933404|29.12|31.03
923460.125|1933295|17.89|16.86
924242.3125|1932774|13.34|11.18
922930.125|1934481|32|30.08
923277.625|1934838|11.93|9.46
923945.8125|1932623|20.3|19.87
922637.875|1934792|17.39|11.47
923070.375|1933710|40.61|34.16
923119.1875|1933658|44.84|38.34
923167.375|1933555|37.57|31.18
923167.8125|1933606|41.31|34.86
923425|1934836|5.98|0.36
922687.625|1934843|5.18|-0.31
923317.3125|1933810|22.19|14.93
923522.375|1934733|1.96|-3.40
923313.5|1933399|38.32|29.52
923311.125|1933142|13.68|7.34
923118.6875|1933606|53.1|46.19
923270.5|1934067|2.54|-2.88
922633.625|1934330|4.43|-1.13
922781.125|1934329|17.91|11.02
922729.125|1934021|4.25|-1.32
923798.6875|1932676|41.09|31.19
924159.3125|1934470|4.18|-1.38
924111.125|1934573|3.24|-2.24
922769.8125|1933096|6.89|1.09
923221.8125|1934119|2.79|-2.66
923848.8125|1932778|73.19|71.74
924161.1875|1934676|2.54|-2.85
923558|1933243|8.05|2.15
923473.8125|1934785|2.34|-3.07
922927.8125|1934225|3.19|-2.27
923465.8125|1933911|3.98|-1.55
924209.375|1934572|1.87|-3.49
923410.875|1933296|3.89|-1.66
922365.375|1931918|3.19|-2.22
922707.1875|1931658|2.92|-2.48
922808|1931914|2.88|-2.53
922319|1932227|39.91|30.13
922064.375|1931305|2.61|-2.76
923211.125|1927596|7.52|2.77
922328.625|1927963|24.89|19.78
921937.8125|1928275|5.54|0.67
921886.8125|1928070|19.24|14.08
922373.5|1927501|7.22|2.45
922374.375|1927603|7.2|2.42
923608|1927952|7.51|2.74
922670.625|1927703|7.34|2.57
922524|1927807|7.29|2.51
921885.8125|1927967|5.51|0.64
923657.3125|1933345|29.05|26.83
922490.375|1934794|21.19|18.05
924358.8125|1934777|13.63|9.68
922047|1934695|20.97|13.84
923180.125|1934941|14.11|7.56
921860.3125|1935776|13|6.55
922835.625|1934893|47.34|42.36
