X|Y|Origin|Predict
923339.625|1930882|53.15|50.93580627441406
923092.3125|1930730|24.35|21.18243408203125
923242.1875|1930986|37.57|34.7940673828125
922946.125|1930886|20.14|16.880321502685547
923843.625|1932213|78.32|86.3428726196289
923640.375|1931496|19.93|16.826396942138672
923542|1931496|20.03|16.960704803466797
924086.8125|1931902|37.53|34.851409912109375
923737.8125|1931392|17.39|14.245685577392578
924286.8125|1932260|56.84|51.037479400634766
922895|1930681|20.36|14.407089233398438
923837.625|1931545|26.57|23.338932037353516
923096.875|1931244|2.75|-0.8590316772460938
923343.875|1931344|3.28|-0.315765380859375
923393.375|1931395|21.69|18.56170654296875
923793.125|1932059|4.81|1.170745849609375
923388.3125|1930830|4.93|1.3098602294921875
924042.1875|1932416|47.11|42.84009552001953
923438.375|1930932|60.93|58.956787109375
923289.375|1930780|36.77|33.9611930847168
922996.6875|1931039|18.61|15.329109191894531
923389.6875|1930984|66.58|64.81732940673828
923139|1930473|21.82|18.600276947021484
923238.375|1930575|24.34|21.166961669921875
923291.8125|1931036|50.45|48.08863830566406
923686.8125|1931187|50.67|49.89179611206055
923542.875|1931599|61.69|56.91853713989258
922948.875|1931194|23.58|20.410194396972656
922897.875|1930989|38.88|35.58090591430664
922898.8125|1931091|22.1|18.891624450683594
923044.375|1930885|18.79|15.509895324707031
923837.125|1931494|46.08|43.58570098876953
923241.3125|1930883|36.16|33.330692291259766
923987.375|1931801|122.11|118.15104675292969
923787|1931391|15.55|12.340248107910156
923838|1931596|21.42|18.34998321533203
923046.8125|1931141|13.81|10.546585083007812
923245|1931294|20.07|16.977184295654297
923441.8125|1931292|21.69|18.636390686035156
923490.875|1931291|38.43|32.11551284790039
923197.1875|1931448|66.87|59.6728401184082
923992.625|1932366|34.24|33.9327278137207
924236.1875|1932107|45.86|41.15703582763672
923841.8125|1932007|36.95|44.879207611083984
924086.3125|1931851|52.38|49.60588455200195
923940.125|1932007|54.83|48.223228454589844
924137.375|1932056|59.98|53.199073791503906
923741.125|1931751|7.43|3.6415634155273438
924041.8125|1932365|46.55|38.355735778808594
923093.625|1930884|1.96|-1.60150146484375
923393|1931344|71.8|67.46867370605469
923539.625|1931240|58.97|56.78351593017578
923545.3125|1931856|1.58|-1.9915847778320312
923443.625|1931497|2.93|-0.6852264404296875
923492.8125|1931497|40.39|37.038028717041016
923494.625|1931702|1.96|-1.6287155151367188
922748.375|1930785|21.78|18.565807342529297
923142.3125|1930832|24.21|21.037796020507812
923192.875|1930986|39.65|36.963226318359375
923243.625|1931140|36.14|33.29466247558594
923092.6875|1930781|23.56|20.396663665771484
923143.8125|1930987|36.56|31.939617156982422
922995.3125|1930885|19.39|16.098613739013672
923642.6875|1931752|26.62|23.511993408203125
923538.6875|1931137|40.97|38.290985107421875
923541.125|1931394|30.78|27.789993286132812
922849.125|1931040|22.45|19.23394775390625
923492.3125|1931446|18.81|15.69350814819336
923936.8125|1931647|23.89|20.88025665283203
923047.3125|1931193|15.12|11.924510955810547
923196.3125|1931346|18.4|15.260108947753906
923594.875|1931907|49.66|44.56341552734375
923487.625|1930932|34.29|31.552024841308594
923840.375|1931853|25.58|22.603897094726562
924091.375|1932416|27.02|24.597057342529297
924285.8125|1932158|130.14|119.84781646728516
923941.125|1932109|55.58|48.9615478515625
923190.625|1930729|2.97|-0.6435775756835938
923339.125|1930831|4.73|1.1077880859375
923194.875|1931191|3.17|-0.43370819091796875
923146.125|1931243|2.93|-0.6852264404296875
923344.3125|1931396|51.17|48.762577056884766
923094.625|1930987|16.69|13.298507690429688
923444.125|1931549|36.29|34.206478118896484
923489.875|1931189|4.19|0.5744400024414062
923488.625|1931035|5.69|2.0203475952148438
923387.8125|1930779|51.71|48.623008728027344
923144.1875|1931038|26.17|23.943206787109375
923441.3125|1931241|86.99|80.07229614257812
923793.625|1932111|205.11|206.12655639648438
923044.875|1930936|16.87|13.526237487792969
923288.875|1930728|32.96|30.025390625
922899.3125|1931143|22.95|19.742218017578125
923444.625|1931600|42.44|39.836727142333984
923442.1875|1931343|60.53|54.85597229003906
923392.5|1931292|34.83|31.97632598876953
923439.375|1931035|60.97|59.007938385009766
923494.1875|1931651|39.58|36.89789581298828
923641.8125|1931650|30.78|27.769744873046875
922947|1930988|19.8|16.512996673583984
923045.375|1930987|16.13|12.79595947265625
923688.625|1931392|29.9|26.872756958007812
923438|1930881|54.31|52.07059860229492
923687.3125|1931238|16.4|13.215446472167969
923938.3125|1931801|27.32|24.402420043945312
923641.3125|1931598|19.76|16.66275405883789
923493.6875|1931600|17.15|13.977458953857422
923940.625|1932058|46.3|39.591182708740234
923637.625|1931187|35.6|29.445938110351562
923691|1931649|5.81|1.7101287841796875
924186.125|1932004|82.58|71.35562896728516
923892.375|1932161|42.16|37.475250244140625
924140.1875|1932364|18.16|19.913612365722656
924090.875|1932365|25.96|20.634662628173828
923542.375|1931548|53.46|47.43756103515625
923141.375|1930730|2.68|-0.921722412109375
923046.3125|1931090|2|-1.586578369140625
923295.625|1931447|20.07|16.89281463623047
924188.875|1932312|52.52|48.535987854003906
923147.5|1931397|27.4|24.312213897705078
923938.6875|1931852|130.45|129.646484375
922799.5|1930990|23|19.806865692138672
923391.125|1931138|49.52|47.1331787109375
922847.6875|1930886|21.24|18.013427734375
923836.625|1931442|24.7|21.524059295654297
923786.625|1931340|14.44|11.221729278564453
922947.375|1931040|12.73|9.464920043945312
923345.3125|1931498|16|12.80447769165039
923936.375|1931596|29.2|25.227725982666016
923537.3125|1930983|82.26|93.1342544555664
923145.125|1931140|21.11|17.197402954101562
923490.375|1931240|30.38|26.42678451538086
923644.125|1931906|5.54|1.469482421875
922700.125|1930888|30.26|21.999771118164062
922945.625|1930834|19.31|15.2786865234375
923495.625|1931805|10.24|5.863037109375
923390.1875|1931035|70.02|68.33565521240234
923246.375|1931448|2.81|-0.7968597412109375
922846.8125|1930784|2.25|-1.3359451293945312
923637.125|1931136|61.63|56.47808074951172
922998.625|1931245|2.57|-1.0209808349609375
923438.875|1930984|6.57|2.9246139526367188
923343.375|1931293|130.14|126.91134643554688
923538.3125|1931086|43.94|41.3435173034668
923294.125|1931293|33.37|30.450439453125
923142.8125|1930884|21.55|18.318195343017578
923245.5|1931345|30.26|27.25180435180664
922896.375|1930835|21.29|18.056629180908203
923296.5|1931550|25.52|22.373416900634766
923240.3125|1930780|33.03|30.09209442138672
923239.8125|1930729|50.36|47.97736740112305
923193.375|1931037|25.85|22.724971771240234
923195.8125|1931294|49.09|46.65956497192383
923489|1931086|81.22|79.59318542480469
922848.625|1930989|22.25|19.038127899169922
923389.3125|1930933|63.45|61.56731414794922
923096.5|1931192|25.13|21.99573516845703
923293.6875|1931242|22.63|19.595462799072266
923843.1875|1932162|29.03|26.143993377685547
923394.875|1931549|16.24|13.058422088623047
923540.625|1931342|20.32|17.246410369873047
923544.3125|1931753|12.08|8.791595458984375
923886.8125|1931545|19.49|16.39102554321289
924036.625|1931800|55.33|48.58961486816406
924136.375|1931953|78.98|68.0000991821289
924237.125|1932209|33.75|29.182682037353516
924285.3125|1932106|87.21|78.5770492553711
922895.5|1930732|2.29|-1.3008041381835938
923644.625|1931958|3.67|0.07228851318359375
924335|1932157|206.3|223.23495483398438
923192.5|1930935|25.36|22.215381622314453
923736.8125|1931289|26.44|23.329975128173828
922898.3125|1931040|63.95|59.6360969543457
923588.3125|1931188|54.47|52.209190368652344
923691.375|1931701|18.22|17.835506439208984
922947.875|1931091|13.34|10.101898193359375
923246.875|1931499|15.95|12.758743286132812
923440.8125|1931189|66.37|62.989933013916016
923592.125|1931599|18.94|15.827388763427734
923346.1875|1931601|14.33|11.100921630859375
923989.3125|1932006|49.28|42.446990966796875
924335.5|1932208|97|90.37232971191406
923986.625|1931698|47.02|40.557823181152344
924236.6875|1932158|86.67|78.41049194335938
923988.375|1931903|44.87|41.89394760131836
923942.875|1932315|33.97|28.199539184570312
923915.8125|1934729|3.46|-0.122833251953125
922884.1875|1934841|4.39|0.8151626586914062
922835.125|1934842|4.43|0.8650588989257812
923572.125|1934784|2.66|-0.8984222412109375
921122.875|1935782|3.19|-0.35761260986328125
922878.125|1934174|3.24|-0.4300384521484375
922589.3125|1934844|4.05|0.36190032958984375
923268.125|1933810|5.11|1.3892898559570312
923363.625|1933501|74.5|70.46846008300781
923363.1875|1933450|27.59|26.36249542236328
923364.125|1933553|52.36|52.05046844482422
923365.125|1933656|65.39|56.68851089477539
923069|1933556|166.73|175.84059143066406
923413.6875|1933604|29.65|22.060611724853516
923502.1875|1932524|8.75|4.8896484375
924109.1875|1934368|50.67|44.94770812988281
923020.375|1933607|47.83|44.722015380859375
923698.875|1932522|7.56|3.7521514892578125
923650.1875|1932574|8.01|4.2014923095703125
923618.375|1934475|1.71|-1.9083709716796875
922977.8125|1934327|3.51|-0.16124725341796875
923312.125|1933245|8.3|4.465492248535156
923799.1875|1932727|115.56|110.60140991210938
923375.875|1934837|2.7|-0.939117431640625
922176.6875|1927502|1.84|-1.7543258666992188
922750.8125|1931041|2.45|-1.1335525512695312
922759.3125|1931966|2.97|-0.6435775756835938
923148.875|1931551|26.28|23.126415252685547
922220.1875|1932176|3.26|-0.3429718017578125
922218.8125|1932022|3.28|-0.32791900634765625
923299.3125|1931858|16.9|12.20751953125
923052|1931706|2.34|-1.2573471069335938
921987.5|1928326|5.56|2.7223968505859375
922916.1875|1927650|7.43|4.8256988525390625
922046.5|1934644|21.11|16.81270980834961
921516.3125|1935779|29.07|23.256961822509766
923753.3125|1933087|116.68|121.33468627929688
922977.3125|1934275|15.07|12.314090728759766
922820.625|1927959|18.38|15.090423583984375
922912.125|1932530|57.19|55.01616668701172
923017.375|1927957|18.5|15.199455261230469
923102.625|1931860|31.45|28.35912322998047
923313.875|1933451|12.55|9.153961181640625
923499.8125|1932267|94.59|92.40911865234375
923054.375|1931963|32.35|32.5552978515625
922999.125|1931296|25.58|22.442005157470703
923199.625|1931705|16.83|13.505046844482422
923103.625|1931963|35.8|32.09635925292969
922758.8125|1931915|28.31|25.244606018066406
922370.125|1932432|28.15|25.076709747314453
922215.875|1931714|28.03|24.953956604003906
923204.8125|1932270|47.11|44.646400451660156
922510.5|1931660|48.01|45.55851745605469
922970.6875|1933556|95.74|104.48430633544922
923113.5|1933041|84.08|77.68069458007812
923962.125|1934421|11.03|6.916526794433594
923866.625|1934730|7.92|3.9591751098632812
